dataset,scene,frame_index,uid,baseline_psnr,ours_psnr,delta_psnr,scene_delta_psnr
rpng,table_03,2890,1662918558787524700.png,23.34744644165039,26.318567276000977,2.971120834350586,1.7509620873292064
rpng,table_08,475,1662925808154784918.png,21.73181915283203,24.702590942382812,2.9707717895507812,1.692766843330734
aria,aria301_305,1985,1515600689687.jpg,20.079326629638672,23.049537658691406,2.9702110290527344,3.185685308169788
rpng,table_04,4510,1662919306131956339.png,23.589900970458984,26.558666229248047,2.9687652587890625,1.1251944239738059
rpng,table_02,1235,1662917404035919189.png,19.560161590576172,22.52840805053711,2.9682464599609375,2.1988808030951503
rpng,table_02,2690,1662917452556631327.png,24.052648544311523,27.020660400390625,2.9680118560791016,2.1988808030951503
rpng,table_02,1750,1662917421196902990.png,21.02751922607422,23.993005752563477,2.965486526489258,2.1988808030951503
rpng,table_03,585,1662918481906261444.png,20.580318450927734,23.545299530029297,2.9649810791015625,1.7509620873292064
aria,aria301_305,1385,1485600696350.jpg,21.21973991394043,24.183879852294922,2.964139938354492,3.185685308169788
rpng,table_07,3790,1662924282005568743.png,25.235994338989258,28.199655532836914,2.9636611938476562,1.4890395942958747
rpng,table_06,1565,1662924059196252584.png,23.351577758789062,26.314918518066406,2.9633407592773438,1.7908915442389421
rpng,table_02,905,1662917393012780190.png,19.327367782592773,22.290691375732422,2.9633235931396484,2.1988808030951503
rpng,table_02,525,1662917380360742807.png,21.60569190979004,24.56783676147461,2.9621448516845703,2.1988808030951503
rpng,table_08,255,1662925800825265408.png,22.89302635192871,25.854930877685547,2.961904525756836,1.692766843330734
rpng,table_03,5670,1662918651487806082.png,19.79363250732422,22.754308700561523,2.9606761932373047,1.7509620873292064
rpng,table_08,6970,1662926024754218578.png,22.412418365478516,25.372802734375,2.9603843688964844,1.692766843330734
rpng,table_05,3450,1662923883554701567.png,23.968170166015625,26.928455352783203,2.960285186767578,1.0883580475224477
aria,aria1253,225,3826019937925.jpg,24.628135681152344,27.588027954101562,2.9598922729492188,1.7197942733764648
rpng,table_03,6370,1662918674823750257.png,19.33582305908203,22.294151306152344,2.9583282470703125,1.7509620873292064
aria,aria301_305,910,1461850687937.jpg,18.257278442382812,21.214780807495117,2.9575023651123047,3.185685308169788
utmm,square-1,1260,1706737778857633352.png,21.3525390625,24.309123992919922,2.956584930419922,1.0429959974171226
rpng,table_02,2095,1662917432701902628.png,19.88646697998047,22.842628479003906,2.9561614990234375,2.1988808030951503
rpng,table_01,675,1662915753888131142.png,23.495426177978516,26.451416015625,2.9559898376464844,1.652589399026212
rpng,table_08,1960,1662925857675797462.png,21.871959686279297,24.82485008239746,2.952890396118164,1.692766843330734
rpng,table_04,4105,1662919292628943920.png,22.78388023376465,25.73422622680664,2.950345993041992,1.1251944239738059
rpng,table_07,1695,1662924212134355545.png,24.564796447753906,27.514753341674805,2.9499568939208984,1.4890395942958747
rpng,table_07,1690,1662924211967611074.png,24.532520294189453,27.48203468322754,2.949514389038086,1.4890395942958747
rpng,table_08,1975,1662925858175007343.png,21.932947158813477,24.880979537963867,2.9480323791503906,1.692766843330734
rpng,table_08,6060,1662925994414623260.png,20.853225708007812,23.799846649169922,2.9466209411621094,1.692766843330734
rpng,table_02,1765,1662917421697120667.png,20.597240447998047,23.542356491088867,2.9451160430908203,2.1988808030951503
rpng,table_05,3470,1662923884221651793.png,23.86162757873535,26.805612564086914,2.9439849853515625,1.0883580475224477
rpng,table_04,3515,1662919272950973272.png,21.68836784362793,24.63115692138672,2.942789077758789,1.1251944239738059
rpng,table_08,375,1662925804825072050.png,23.304073333740234,26.244991302490234,2.94091796875,1.692766843330734
rpng,table_08,8035,1662926060257580757.png,22.39276123046875,25.332942962646484,2.9401817321777344,1.692766843330734
rpng,table_03,1190,1662918502081889868.png,21.31850242614746,24.258432388305664,2.939929962158203,1.7509620873292064
rpng,table_01,1565,1662915783523649216.png,23.979270935058594,26.917877197265625,2.9386062622070312,1.652589399026212
rpng,table_01,370,1662915743688287735.png,24.839771270751953,27.777603149414062,2.9378318786621094,1.652589399026212
rpng,table_03,2885,1662918558621540546.png,23.132905960083008,26.07006072998047,2.937154769897461,1.7509620873292064
rpng,table_05,2890,1662923864883481741.png,25.653484344482422,28.59055519104004,2.937070846557617,1.0883580475224477
aria,aria301_305,1980,1515350690025.jpg,20.526538848876953,23.463050842285156,2.936511993408203,3.185685308169788
rpng,table_05,2955,1662923867047502279.png,26.374065399169922,29.310302734375,2.936237335205078,1.0883580475224477
rpng,table_08,905,1662925822493471146.png,23.851470947265625,26.787704467773438,2.9362335205078125,1.692766843330734
rpng,table_08,2000,1662925859007128000.png,23.489377975463867,26.425363540649414,2.935985565185547,1.692766843330734
rpng,table_02,2000,1662917429533825874.png,21.505537033081055,24.441469192504883,2.935932159423828,2.1988808030951503
rpng,table_02,1950,1662917427866480112.png,21.247180938720703,24.180564880371094,2.9333839416503906,2.1988808030951503
rpng,table_07,2890,1662924251982613087.png,25.11532974243164,28.047372817993164,2.9320430755615234,1.4890395942958747
aria,aria1253,235,3826519945100.jpg,25.7225341796875,28.653400421142578,2.930866241455078,1.7197942733764648
aria,aria1253,860,3857769940262.jpg,23.081274032592773,26.010759353637695,2.929485321044922,1.7197942733764648
rpng,table_08,4870,1662925954715412378.png,22.310928344726562,25.240076065063477,2.929147720336914,1.692766843330734
rpng,table_06,2130,1662924078004194975.png,21.800552368164062,24.729440689086914,2.9288883209228516,1.7908915442389421
rpng,table_04,3985,1662919288623176813.png,21.309757232666016,24.238372802734375,2.9286155700683594,1.1251944239738059
rpng,table_07,3780,1662924281673189640.png,25.105817794799805,28.033916473388672,2.928098678588867,1.4890395942958747
rpng,table_03,4110,1662918599454200745.png,23.113325119018555,26.041242599487305,2.92791748046875,1.7509620873292064
