path,allocated_bytes,size_bytes,reason
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria12F_zerotail_rr_K8_r4_s1/point_cloud/iteration_18000/point_cloud.ply,84508672,84508115,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_4000/point_cloud.ply,75833344,75829291,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/zero_tail_runs/aria1253_zerotail_relative_half_odds4_K8_r4_s0/point_cloud/iteration_6500/point_cloud.ply,123650048,123646919,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/external_runs/aria3F_staged_interval_size_K32_b002_r4_79081_s0/point_cloud/iteration_45000/point_cloud.ply,118992896,118992439,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/external_runs/aria3F_rr_K32_b002_du36500_r4_79081_s0/point_cloud/iteration_45000/point_cloud.ply,102596608,102596055,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/external_runs/aria3F_staged_interval_size_K32_b002_du36500_r4_79081_s0/point_cloud/iteration_45000/point_cloud.ply,101519360,101517407,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/external_runs/aria3F_interval_size_K32_b002_r4_79081_s0/point_cloud/iteration_45000/point_cloud.ply,128139264,128138171,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/external_runs/aria3F_rr_K32_b002_r4_79081_s0/point_cloud/iteration_45000/point_cloud.ply,119332864,119332619,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/saturation_runs/aria305_efloor_r035_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,195489792,195485927,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/saturation_runs/aria12F_efloor_r035_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,81121280,81120623,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/saturation_runs/aria12F_rr_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,85266432,85263227,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/saturation_runs/aria1253_efloor_r035_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,204210176,204206799,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/saturation_runs/aria305_rr_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,173641728,173638779,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
/home/intern/gs_floaterLab/context/experiments/exp75/evidence/saturation_runs/aria1253_rr_r4_45k_s0/point_cloud/iteration_30000/point_cloud.ply,201596928,201595151,non-latest iteration; excludes anytime_runs and shared_branch; needs retention review
